idx,nltk
106, entender necessidades negócio desenhar hipóteses transformar soluções analíticas exemplo análise descritiva análise preditiva análise prescritiva ferramentas técnicas ciência bi tradicional manter dashboards integrando informações múltiplas fontes sugerindo formas visualizações modernas facilitem tomada decisão manter comunicação tecnologia informação ti contínuas propor melhorias bases aprimorar analytics ensino superior completo linguagem sql banco relacionais power bi similares qlik tableau etc linguagens/scripts analytics r python usuário avançado excel incluindo power query power pivot interfaces ides visual studio r-studio pycharm spyder sistema sap idioma inglês - intermediário
107, estruturar bases implementar rotinas automáticas extração desenvolvimento dashboards relatórios através ferramenta power bi desenvolvimento plataforma bi atender dashboards grupo desenvolver módulo bi aplicação web big modelagem warehouse modelagem etl power designer desenvolvimento soluções bi
108, - manter atualizado consolidar cadastro alinhamento emissoras todas filiais evitando impactos divulgados audiência - fará análise tratamento através ferramenta bi - cobrar atualização semanal filiais relação operadoras rede garantir correta divulgação audiência emissoras - atender solicitações referente estudos acordo necessidades específicas clientes internos externos - apoiar processos auditoria interna externa executando processamento prévio resultados auditados diariamente - ensino superior cursando completo voltado área ti exatas - análise bi através ferramentas power bi tableau semelhantes - análise tratamento - excel avançado - inglês técnico
109, responsável gestão resultados junto agência deverá consolidar informações transformar dado entregas resultados esperados serviço kpis análise inputs melhoria ecossistema digital acompanhamento taxa conversão leads acompanhamento métricas sucesso mídia excel avançado - power bi prévia área bi análise inglês avançado idioma inglês - fluente
110, propor apoiar indicadores gerenciais dashboards análise negócio construir modelos transformá-los informações gerenciais direcionando-os tomadas decisões recomendações estratégicas implementar manter governança segurança informação refere informações gerenciais manter evoluir arquitetura tecnológica plataforma bi empresa implementar manter padronização indicadores companhia garantir integridade destas informações plataforma cloud oracle analytics bi formação acadêmica superior completo especialização bi science
111, levantamento análise requisitos manipulação banco sql server oracle insert update delete select etc relatórios indicadores gráficos sql personalizados relatórios indicadores gráficos power bi softwares semelhantes
112, acompanhamento processos operacionais junto regionais/unidades dando visibilidade andamento processos atualização reports executivos comunicação corporativa atualização manutenção banco access oracle sql server atualização manutenção aplicação melhorias painéis power bi captação renovação atualização manutenção aplicação melhorias formulários power apps geração relatórios baseados obtidos banco oracle sql server ensino superior completo ti engenharias gestão excel avançado power bi intermediário/ avançado sql server oracle intermediário power apps
113, desempenhar relacionamento clientes interpretar necessidades áreas negócio extrair modelar atendam indicadores mapeados área tecnologia informática ensino superior completo ciências computação/ analise desenvolvimento sistemas/sistema informação banco desenvolvimento software fundamentos etl/data warehouse domínio power bi cql server
114, analisar cenários vendas propor estratégias comercialização entender diferentes perfis clientes minuto seguros objetivo alavancar vendas reduzir cancelamentos analisar estratégias melhorias processos ferramentas elaborar estudos acompanhamento comportamento canais negócios apresentar sugestões melhorias junto departamentos vendas pós-vendas diretoria formular responder perguntas estratégia negócios propor métricas acompanhamento fim otimizar processo vendas analisar perfis clientes propor personalização produtos maximizar conversão acompanhamento indicadores avançados excel power bi melhor ainda habilidades técnicas consultar informações banco sql comunicação escrita verbal apresentar informações complexas clara concisa relacionamento interpessoal tratar áreas internas diretoria vendas pós-vendas desenvolvimento
115, garantir confiabilidade informações geradas área modelar desenvolver kpi´s relatórios gerenciais áreas negócio consolidar resultados gerar análises tomada decisão desenvolver modelar validar garantir integridade atualização banco bi gerar atualização armazenamento banco bi otimizar processos através automatizações desenvolvimento queries hard skills excel avançado sql avançado power bi/qlikview/tableau tecnologia banco lógica programação dw etl soft skills visão negócios lifelong learning aliar teoria prática raciocínio lógico curiosidade.raciocínio lógico curiosidade boa comunicação pensamento crítico atitude positiva flexibilidade solucionador problemas inovação
116, identificar padrões armazenados tendo base padrões deve propor análises preveem andamento determinado produto serviço aplicações análises modelos templates facilitando otimização mineração definir padrões melhores práticas desenvolvimento elaborar cronogramas projetos relatórios gerenciais relacionar-se equipes multidisciplinares conhecendo analistas programadores mantendo sinergia entender manter-se atualizado sobre comportamento tendências empresas concorrentes mercado superior completo informática ciências computação/engenharia computação boa boa comunicação cortesia bom relacionamento
117, identificar padrões armazenados tendo base padrões propor análises prevejam andamento determinado produto serviço - aplicações análise modelos templates facilitando otimização mineração definir padrões melhores práticas desenvolvimento melhores práticas mercado objetivando padrão identidade agilize processo pesquisa elaborar cronograma projeto relatórios gerenciais através ferramentas controle projetos facilitando condução mesmos relacionar-se equipes multidisciplinares conhecendo analistas programadores mantendo sinergia setores entender manter-se atualizado sobre comportamento tendências empresas concorrentes mercado aplicar inovar agregue valor empresa orientar apresentando fontes alternativas informações ensinando informações podem extraídas possuir especialização b.i
118, responsável análise resultados gerenciais apoiar verificação regras métricas negócio dar suporte direto gestores área analisar ferramentas gestão controle acompanhar indicadores performances resultado competências analítico boa comunicação resiliência trabalho equipe agilidade habilidades formação administração habilidade excel análise
119, linguagem sql lógica programação inglês técnico power bi avançado excel avançado formação completa cursando tecnologia informação engenharia computação ciências computação matemática estatística áreas relacionadas
120, garantir funcionamento relatórios gerenciais garantir tomada decisão rápida todas áreas compartilhamento informações base gestão negócios através gerenciamento manutenção relatórios desenvolvidos além rapidez solução suporte solicitados área avançado microsoft excel ferramenta powerbi microsoft ferramentas etl banco sql sever
121, área jurídica consolidando reportando analises - levantamento analise indicadores - controle desempenho escritórios - análises estatísticas - reporte auditorias - construção dashboard analise apresentação resultados excel avançado power bi área jurídica
122, atuar power bi integration services etl reporting services sql modelagem relacional multidimensional procedures functions views triggers levantamento requisitos
123, irá estruturar bases implementar rotinas automáticas extração desenvolvimento dashboards relatórios através ferramenta power bi desenvolvimento plataforma bi atender dashboards grupo desenvolver módulo bi aplicação web modelagem etl powerdesigner desenvolvimento soluções bi bigdata modelagem warehouse relacionada linguagem programação php javascript micros serviços apis
124, análise desenvolvimento cargas etl posterior dashboards análises conforme regras negócios definidos implantação sistemas erp ensino superior completo área tecnologia expert business intelligence função power bi dashboards análise desenvolvimento cargas etl ferramentas qlik sense banco postgre sql organização capacidade analítica antifragilidade inteligência emocional trabalho equipe
125, responsável apoiar decisões estratégicas negócios marcas meio elaboração relatórios análise internos externos automação otimização rotinas área web analytics google analytics google tag manager etc. dashboards google studio importando diferentes fontes monitoramento kpis desempenho detalhado canais marketing plataformas vendas analisar sugerir melhorias performance campanhas marketing digital vendas online analisar aprendidos sugerir executar testes a/b redirecionados multivariados ferramentas segmento recomendar melhorias aumento conversão redução cpa cpl cpc analisar oportunidades implementação ferramentas objetivo aumentar roas projeto assim kpis tráfego qualificado leads web analytics análise google analytics google tag manager google studio domínio avançado excel google sheets supermetrics noção funcionamento conceitos google ads facebook ads taboola ads outras ferramentas marketing digital sql formação publicidade propaganda matemática estatística economia administração marketing tecnologia informação engenharia computação ciências computação relacionados linguagens programação habilidades comunicação interação projetos business intelligence
126, elabora implementa modelos ferramentas controle qualidade foco adoção políticas técnicas melhoria contínua realiza mapeamento processos instruções trabalho análise controle não-conformidades acompanha auditoria interna externa formação superior gestão ti similar experiencia anterior area qualidade empresas tecnologia dominio ferramentas qualidade histograma diagrama pareto diagrama ishikawa fluxograma processos dominio power bi ms office certificação itil v3 v4
127, desenvolver visões inteligência através banco graduação cursando concluída áreas relacionadas cargo anterior descritas power bi dashboard excel banco
128, consolidar revisar métricas receita pedido diariamente consulte outras partes interessadas exemplo desenvolvimento negócios operações marketing etc executar análises levem estratégias negócios acionáveis percepções identificar problemas reunir informações várias fontes analisar interpretar padrões tendências propor soluções monitorar iniciativas objetivo aumentar eficiência apoiar várias funções negócios desenvolvimento manutenção vários relatórios gestão automatizar processo relatório manual vba python sql diploma bacharel matemática statistica trabalhar sql trabalho python vantagem confortável trabalhando grandes conjuntos números capacidade fazer inferências partir planejar curso ação apropriado trabalho várias partes interessadas várias divisões candidatos juniores seniores bem-vindos discutiremos antiguidade base anterior possuir excel avançado
129, realizar análise disponíveis dar suporte funcionários elaborar documentação manuais projetos desenvolvidos realizar etapas levantamento requisitos desenho projeto documentação design programação testes validação cliente implantação manter atualizada versões ferramentas trabalho manter-se atualizado sobre versões ferramentas melhores recursos disponíveis otimização entregas realizar acompanhamento entregas clientes monitorar performance dashboards avançado powerbi sql ter domínio design indicadores
130, profissional irá atuar desenvolvimento análise modelagem extração carga sql server siss oracle integration services .net core c # angular vba noções validação qualidade automação exportação relatórios integration services imprescindível inglês intermediário avançado conversação necessário mercado financeiro sql server siss oracle .net core c # angular vba noções produtos bancários vivência desenvolvimento análise modelagem extração carga validação qualidade automação exportação relatórios integration services idioma inglês - intermediário
131, atuar planejamento condução temas projetos desenvolvimento/ sustentação melhoria contínua vivência gestão desenvolvimento equipe coordenar desenvolvimento entrega projetos relacionados métodos ágeis elaboração gestão planejamento estratégico orçamentário gestão fornecedores indicadores projetos business intelligence bi foco engenharia
132, desenvolvimento implantação coleta tratamento análise base elaboração análise relatórios quantitativos análise implementação indicadores elaboração apresentações gerenciamento pesquisas análises estatísticas ensino superior ciências contábeis áreas office sistemas informação área
133, desenvolvimento dashboards kpi análises alto volume complexidade gerencial operacional automação dashboards fácil visualização excel datastudio etc conexão fontes erp ensino superior completo avançado programação bem ferramentas datastudio google tag manager google analytics ter habilidade comprovada modelagem base avançado implantação scripts códigos sites avançado língua inglesa realizará calls produção relatórios idioma formação superior exatas/tecnologia administração economia ter habilidade comprovada modelagem base seo concentrado detalhista assertivo organizado disciplinado saber trabalhar equipe
134, reunir informações relevantes limpeza identificação correção informações duplicadas inválidas corrompidas organizar material obter insights valiosos empresa relação comunicação estratégias marketing comportamento usuário previsões produtos sistemas etc garantir qualidade integrações consistência relatórios desenvolver relatórios gerenciais acompanhar resultados fornecer informações áreas negócios acompanhar tendências mercado kpis estimativas sugerindo otimizações automatizar documentos recorrente compreensão completa objetivos negócio extração relevantes montagem relatórios análise apresentação resultados equipe mídia levando insights performance formação superior área
135, implantação b.i banco através sistema uau slq banco sistema uau
136, desenvolvimento geração automatização envio relatórios gerenciais áreas funcionais empresa compras financeiro marketing logística desenvolvimento análises ad-hoc internos externos orientar tomadas decisão diretoria suporte analítico área marketing gerando insights partir ferramentas métricas acesso sites google analytics social listening outras desenvolver parceria área ti novos processos extração transformação carregamento análise visualização através ferramentas processos garantir qualidade integrações fontes ensino superior análise sistemas ciências computação outras relacionadas área tecnologia informação administração empresas ênfase ti análise domínio excel linguagem programação vba linguagem consulta banco sql
137, confeccionar relatórios perinatais construir banco fazer coletas estatísticos indicadores procedimentos hospitalares bacharel estatística informática
138, responsável conduzir análises vão direcionar decisões times vendas marketing tecnologia atendimento finanças responsabilidade trabalhar desde entendimento situação análise consolidação insights oferecer recomendações departamentos management team suportado grande volume disponíveis colegas equipe estratégia bi participará iniciativas críticas impacto direto negócio esperamos ter sucesso nesse papel preciso gostar trabalhar conjunto pessoas diferentes origens desafios vai enfrentar podem complexos portanto importante pessoa analítica capaz enxergar através complexidade problemas tempo ter boa dose pragmatismo gerar resultados causar impacto rápido fortes habilidades analíticas resolução problemas linguagens programação relacionada sql ferramentas bi power bi qliksense tableau trabalho bi interesse afinidade resolver problemas negócio complexos partir abordagem analítica sql painéis preferência tableau coisas gostaríamos soubesse alteryx qualquer outra ferramenta transformação trabalho vendas marketing tecnologia perfil colaborativo hands-on oferta salário competitivo assistência médica assistência dental seguro vida vale-transporte combustível cartão benefício flexível vee parcerias zenklub totalpass estilo trabalho flexível opção home office parcial superior completo
139, compreensão modelo negócio seleção preparação pre-analise estruturas lógicas relacionamento bases elaborar dashboards renderização visões tomada decisões automatizar relatório atualização distribuição periódica manter operacionalmente atualizados todos controles desenvolvidos suportar diretor financeiro demais pessoas empresa tomada decisão estrutura programação banco elaboração querys excel avançado microsoft power bi on-premises gateways desenvolvimento quadros painéis report
140, atuará sustentação microstrategy atuará powerbi responsável manter legado microstrategy microstrategy powerbi
141, área inteligência mercado coletar verifica organiza pesquisa marketing relatar tendências mercado inteligência concorrência vendas gestão números comercial funil vendas análise mercado interno externo emissão relatórios vendas acompanhamento preços produtos revendas atualização relatórios importação equipamentos gestão crm inglês intermediário/avançado excel avançado power bi crm pós gestão negócios ensino superior completo administração economia engenharia produção idioma inglês - intermediário
142, revisar validar medida coletados apoiar desenvolvimento politicas procedimentos coleta análise cooperar departamento ti implantar atualizações softwares hardware permitam melhorar casos sistema existentes domo manager boxbot tecnologias big monitorar resultados analise métricas análises requisitos kpis documentação estruturada mapeamento processos scrum infra on premisses saas banco sql oracle conectores odbc outras fontes banco pl sql linguagem programação - select join if group mer modelo entidade relacionamento administração qlik saas nuvem qlik transformações etl certificações qlik sense
143, gestão contratos gerar indicadores relatórios analisar recebimentos realizar cobranças relacionamento bancos controlar carteira clientes analisar recebíveis elaborar relatórios diretoria excel avançado graduado cursando últimos semestres administração empresas economia ciências contábeis ferramenta power bi
144, analisar levantar requisitos definir modelagem modelos serem tratados transformados estuda melhor ferramenta extração
145, suporte usuário erp relatórios kpi 's contato clientes superior completo tecnologia informação engenharia computação ciências computação áreas bi gerenciamento banco relatórios oracle sql server ssis ssas office suporte usuário erp linguagem javascript json
146, cargo desafio planejar executar pesquisas levantamentos estatísticos realizará análise cruzamento exposição relatórios via tabelas planilhas gráficos requisitos ter cursado estar cursando último ano econometria estatística ciências atuariais matemática áreas relacionadas ferramentas estatísticos estatístico análise descritiva séries temporais amostragem avançado excel trabalhar tabelas planilhas gráficos noção manipular grande volumes séra - candidata candidato perfil proativo pois atuara maior parte tempo busca correlação - inglês intermediário avançado leitura pois materiais pesquisa estudo inglês - extremamente analítico rigoroso detalhes - saiba gerenciar tempo lidar volume grande - boa relação interpessoal colegas clientes idioma inglês - intermediário
147, coletar diversos departamentos empresa analisar determinar aspectos- chaves produtividade aproveitamento oportunidades gargalos reputação mercado etc analisar captados cada ação empresa organizá-los banco apresentação visual facilitando análise tomadores decisão monitorar resultado ver bem-sucedidos linguagem sql desenvolvimento b.i ferramenta qlik sense área
148, analista bi sênior deve responsável projetar construir modelos escaláveis limpar transformar habilitar recursos analíticos avançados fornecem valor negócios significativo meio visualizações fáceis compreender deve colaborar partes interessadas fornecer insights relevantes base requisitos negócios identificados além disso importante ter compreensão fundamental repositórios processos processamento precisará garantir vez modelados dashboards desenvolvidos apresentação indicadores-chave performance kpis definidos mapeamentos painéis ativo comunidade power bi portfólio trabalhos visualmente atrativos ambientes alto volume domínio dax avançado microsoft power bi dax studio perfomance analyzer profundo sistemas gerenciamento banco olap etl sql ms sql server capacidade scripts views procedures functions habilidades comprovadas tomar iniciativa inovador mente analítica aptidão resolver problemas análise negócios analítico excelente comunicador ágil scrum especial inglês técnico intermediário leitura entendimento ter visão negócios aptidão resolver problemas idioma inglês - intermediário
149, analisar perfil expositor visitante eventos físicos virtuais apoiar departamento marketing tomada decisões sobre campanhas adiretoria configuração kpi # 39s responsável bases credenciamentos visitantes eventos físicos digitais transformar painéis visualizações clientes internos bem documentar área bi confeccionar relatórios transformar combinar informações visualizáveis clientes internos confeccionar relatórios marketing objetivo entregar pertinentes clientes referentes participação eventos interação times atuar pesquisas credenciamento externos mercado propor melhorias soluções departamento bem cliente interno graduação completa marketing estatística matemática engenharia economia administração empresas ciências computação inglês avançado comunicação power bi avançado excel avançado dashboard tabela dinâmica banco sql conceito inteligência artificial estrutura análises preditivas programação linguagem r sensíveis
150, métricas kpis extrair tratar comparar através bases ferramentas áreas bases mercado concorrência tabular informações apresentando estruturada elaborando relatórios dashboards power bi modelos visões avançadas automatizando entregas manter controle progresso necessário follow-up adequado internamente prover análises indicadores conceitos estatística através planner efetuar levantamento através acompanhamento processos áreas clientes internos conduzir reuniões equipe clientes internos reportando progresso recebendo novos direcionamentos provendo insights conduzir situações internas emergência promovendo análise problemas junto bi clientes internos atender realizar correlatas inerentes cargo graduação power bi sql pentaho flow python modelagem arquitetura bi dw microsoft tools ssis ssas ssrs ssas tabular dax extração análise demonstração composição melhorias processos internos
151, desenvolvimento relatórios kpis dashboards gerenciais estratégicos desenvolvimento gerenciamento projetos manipulação grande volumes versionamento - git algoritmos machine learning versionamento - git linguagens programação sql python outras construção manutenção dashboards ferramentas business intelligence studio outras software estatísticos avançado excel desenvolvimento relatórios kpis dashboards gerenciais estratégicos desenvolvimento gerenciamento projetos noção manipular grande volumes versionamento - git analytics estatístico análise descritiva séries temporais amostragem ter criando algoritmos machine learning inglês avançado idioma inglês - fluente
152, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração excel avançado ferramentas bi
153, desenvolvimento análise relatórios diversos relatórios gerenciais formado cursando tecnologia cursos correlatos excel avançado banco sql/microsoft dashboards qlic sense
154, auxiliar constantemente responsáveis estudos bioequivalência ensaios clínicos junto anvisa patrocinadores necessário conduzir aplicar análises estatísticas voltada estudos clínicos bioequivalência construir soluções próprias usufruindo máximo ferramentas disponíveis além apontar melhorias executá-las ensino superior completo estatística habilidades ferramentas r sas qualquer linguagem programação voltada estatística análise pesquisa clínica área saúde capacidade analítica desenvolvimento ideias serem aplicadas ensaios clínicos python inglês intermediário
